review_body,url,title,locality
"
Kalkaji, a well developed locality in South Delhi, is known for the 3000 years old Kalka Mandir. A residential complex as well as a commercial hub, Kalkaji is easily accessible through a number of buses and auto rickshaws that ply on this road. In addition, the Metro has also reached this locality making it all the more accessible.
Tourist attractions such as Lotus Temple, the Dargah of Chirag Dehlvi and many other ancient historical monuments form a part of this localityÃ¢ÂÂs culture. The area is green and has wide roads. The locality has a mix of upper, middle and lower income group people.
The residential prices have been increasing constantly in the area. Even though the rates are lower than the nearby places such as GK, it is still considered to be an expensive place. The locality has several good schools, hospitals and entertainment options. Being close to upmarket areas such as Greater Kailash, Kailash Colony etc gives an edge to the locality.
Situated close to shopping complexes like Nehru Place and Kalkaji Market, the area has been given the name Electrical Hub of South Delhi. Localities surrounding it, such as GK and Chittranjan Park, offer the residents options to shop for their branded and non-branded outfits and other merchandise.
Pros:
Metro Connectivity
Close to Commercial hubs such as Nehru Place.
",http://www.magicbricks.com/Kalkaji-in-New-Delhi-Overview,"
Overview of Kalkaji, New Delhi
","
Kalkaji, New Delhi , 
"
"
Located just south of the Ring Road and to the north of Hauz Khas Deer Park, Safdarjung Enclave, one of the affluent localities of South Delhi, was developed by DDA in the early 1960s. Safdarjung Enclave is primarily a residential locality and the population generally belongs to the High Income Group. The locality has flats by DDA as well as private and cooperative housing. Units of 3 and 4BHK are most common here even though 2BHK apartments are also available.
The locality is divided into different blocks namely A-1, A-2, B-1-7. Safdarjung Enclave from east to west is located between the AIIMS Trauma Centre and Bhikaji Kama Place on the Inner Ring Road and from north to south it is enclosed by Bhikaji Kama Place up to DLTA Stadium and District Park. Semi-urban areas such as Krishna Nagar, Arjun Nagar and Humayun Pur villages also form a part of this residential locality.
The area also has a large number of hotels such as Africa Avenue, Park Hotel, Baljeet Lodge, Shreyans Inn etc. Major car manufacturers such as Maruti, Mahindra, Hyundai, Ford etc. have their exclusive showrooms in Safdarjung Enclave. Food joints such as Red Chilli at Central market A-2 Block, Rajindra Dhaba at A-1 Block market, Cafe Coffee Day in B-7 market are some of the most popular destinations for the localityÃ¢ÂÂs youth.
Safdarjung Club is situated just opposite the A-1 Block market and near the Kamal Cinema enclosure. In addition, two large parks namely Deer Park and the District Park provide added greenery to the area.
Pros:
One of the premium and well developed localities.
Centrally located.
Has several food joints in its vicinity.
No security issues.
",http://www.magicbricks.com/Safdarjung-Enclave-in-New-Delhi-Overview,"
Overview of Safdarjung Enclave, New Delhi
","
Safdarjung Enclave, New Delhi , 
"
"
East of Kailash is a residential area in South Delhi that boasts of several high end neighborhoods and multiple markets such as Greater Kailash I and II, Lajpat Nagar, Kailash Colony, Sant Nagar, Friends Colony East and Dayanand Colony to name a few. It is home to some of the most affluent families in Delhi and is also the official residence of many directors and officers in this area.
The locality offers apartments and independent houses. Almost all configurations ranging from 2, 3, 4 and 5BHKs are available for sale as well as rent.
It is a fully secured and peaceful premium locality with facilities like markets, banks and parks in the vicinity.
The nearest metro station, Kailash Colony, is just one km away. Nehru Place metro station is also nearby. It is a gated locality with two parks and enough space to park 3-4 private cars per house. It is located on the main road leading to Nehru Place.
Apart from the commercial hub of Nehru Place other popular markets such as Central Market (Lajpat Nagar), M-Block Market GK are also located in close proximity.
The locality is also known for the famous Iskon Temple and Kalka Mandir. The locality has several schools, colleges, hospitals and clinics. Schools such as Don Bosco, Blue Bells International and the popular girls college LSR are located near the locality.
Pros:
Two metro stations in close proximity
Close to several high street markets
Well connected to all parts of Delhi.
",http://www.magicbricks.com/East-Of-Kailash-in-New-Delhi-Overview,"
Overview of East Of Kailash, New Delhi
","
East Of Kailash, New Delhi , 
"
"
Malviya Nagar is an area that came into existence after the partition when the refugees from Pakistan settled here. Originally inhabited by Sindhis and Punjabis from Pakistan, today the locality houses a largely cosmopolitan crowd. It is one of the most affluent localities of South Delhi.
The locality houses 1, 2 and 3BHK apartments and builder floors. It caters to the middle and upper middle class of people.
Some of the prominent residential colonies of the area include Bhavishya Nidhi Enclave, Geetanjali Enclave, Khirki Extension, Shivalik Colony and Sarvodaya Enclave. All these colonies have their own markets that cater to their daily requirements of fruits, vegetable and also to some extent that of shoes, bags, electronic accessories etc.
Upmarket areas such as Saket, Hauz Khas, Panchsheel Enclave, Sheikh Sarai and Sarvapriya Vihar surround Malviya Nagar. A large number of banks and ATMs are also located in the area. The locality also has super specialty dental care center.
Malviya Nagar can be easily accessed from all parts of Delhi through buses, auto rickshaws, Metro and taxis making it an ideal place to live in. It is considered to be a green area with several parks for the residents. It is a safe area since there are round-the-clock security personnel. The locality has a number of paying guest accommodation for students also.
Pros:
Metro connectivity
Greenery and calm environment.
",http://www.magicbricks.com/Malviya-Nagar-in-New-Delhi-Overview,"
Overview of Malviya Nagar, New Delhi
","
Malviya Nagar, New Delhi , 
"
"
Pitampura is considered to be one of the most-well developed and perhaps the best residential locality in North-west Delhi today. It was developed by the Delhi Development Authority (DDA) in the late 1970s. The locality has LIG, MIG and HIG authority flats along with Cooperative Housing such as Sangam and Mousami Cooperative Societies. Private bungalows and independent houses are also present in the area. All configurations, ranging from 1, 2, 3 and 4BHK are available in the locality.
The inhabitants of the locality comprise of businessmen, lawyers, doctors, government officers etc. The locality is well connected to different parts of the city through the Metro. Both Pitampura and Kohat Enclave Metro stations are within 5 km. The area is also well served by buses and autos.
The locality has several entertainment and leisure options such as Dilli Haat, Netaji Subhash Place and DDA Sports Complex. There are various eating joints and restaurants such as Haldirams, McDonalds, KFC, Subway etc in the vicinity of the locality that attract a huge crowd on a daily basis.
Several hospitals such as Max Hospital, Saroj Hospital and Bhagwan Mahavir Hospital are in close vicinity. It is also a very important educational hub having many leading schools and colleges. Other facilities in the locality include malls, multiplexes, banks, ATMs etc.
Pros:
Metro connectivity
Good road connectivity
",http://www.magicbricks.com/Pitampura-in-New-Delhi-Overview,"
Overview of Pitampura, New Delhi
","
Pitampura, New Delhi , 
"
"
Saket is an upmarket residential cum commercial locality in South Delhi. It is popular due to the various malls it has in its vicinity. It is strategically situated and is surrounded by well developed and premium residential localities such as Mehrauli on the West, Pushp Vihar on the East, Malviya Nagar & Gitanjali Enclave on the North and Sainik Farms on the South.
The locality offers residential plots, LIG, MIG and HIG DDA flats, apartments, independent houses and bungalows. Hence, there is a fair mix of properties available for sale and rent for all income groups. All configurations ranging from 1, 2,3 and 4BHK are available here.
Saket is well connected by metro as well as road. Commuting to Saket has improved considerably with the opening of the Metro. Bus connectivity is also good in this location with a large number of buses on this route. It is easily accessible by all means of public transport including autos and taxis.
Saket is known for its mall culture. While a few years ago the PVR Complex was the only crowd puller in the locality. Today a number of high end malls such as the Select City Mall, DLF Place, Metropolitan Mall etc make it a favorite among youngsters as well as the older generation. All these are located in close proximity to each other making them easily accessible.
Even schools, colleges, entertainment zones, medical facilities and recreational zones are all located in close proximity to Saket. It is also a commercial hub offering value to its office spaces and also positively impacts its residential market, since people prefer to stay close to their offices.
Pros:
Metro connectivity
Presence of large number of malls
Cons:
Traffic congestion.
",http://www.magicbricks.com/Saket-in-New-Delhi-Overview,"
Overview of Saket, New Delhi
","
Saket, New Delhi , 
"
"
Sarita Vihar is located on the opposite side of Okhla Industrial Areas, Phases I and II, on the other side of NH-2. The underpass makes it convenient to reach these two industrial hubs of Delhi. Mohan Cooperative Industrial Estate is also nearby, stretching parallel to Sarita Vihar. The locality is easily accessible by road as well as Metro Line.
These features have helped Sarita Vihar become one of the hottest areas in the property market in Delhi. With the opening of Okhla Underpass the property rates have yet again risen in this area.
It is a hub for almost all Indian and international automobile showrooms (including Rolls Royce and Aston Martin), international BPO's, offices and few eating joints, such as Haldiram's and Sagar Ratna. Nehru Place, the biggest computer & accessories market in Delhi, and Lajpat Nagar, a shopping market, are within 5-7 km of Sarita Vihar.
Indraprastha Apollo Hospital, Fortis Escorts Heart Institute and Holy Family Hospital are some of the hospitals located within a radius of 5 km of Sarita Vihar. It also has the district centre, a modern sports complex and District Police Headquarters.
There are many schools and institutes located in Sarita Vihar. A few of the schools are DAV Public School, Glory Public School, Shemrock Play School, Kinderland Play School and many more. Asia-Pacific Institute of Management and Global Institute of Management Technology are also in the vicinity of the locality.
Pros:
Centrally located, well connected by road and the Metro
Proximity to Nehru Place and Lajpat Nagar markets.
",http://www.magicbricks.com/Sarita-Vihar-in-New-Delhi-Overview,"
Overview of Sarita Vihar, New Delhi
","
Sarita Vihar, New Delhi , 
"
"
Vasant Kunj is a well-developed residential colony located in South-west Delhi and is well known for its farm houses and lavish lifestyle. The locality was formed by the government by acquiring land from nearby villages such as Munirka, Masoodpur and Mahipalpur.
With the city expanding southwards, Vasant Kunj is today considered to be one of the most centrally located areas of Delhi. It is located between Gurgaon and South Delhi. It houses several intellectuals and prominent businessmen. The locality offers 1, 2, 3 and 4BHK apartments by private builders, DDA as well as within Cooperative Societies.
The locality is divided into four sectors, A, B, C and D, each housing a commercial complex of its own. These take care of the residentsÃ¢ÂÂ day-to-day requirements. It has some of the best schools such as Delhi Public School and APJ School. Hospitals and malls such as DLF Emporio, DLF Promminade and Ambience Mall, local shopping complexes and hotels Vasant Continental and Raddission are also a part of this area.
Pros:
It is well connected with Delhi and Gurgaon
Proximity to the airport.
Cons:
High property prices.
",http://www.magicbricks.com/Vasant-Kunj-in-New-Delhi-Overview,"
Overview of Vasant Kunj, New Delhi
","
Vasant Kunj, New Delhi , 
"
"
Vasant Vihar is one of the most affluent localities not only in Delhi but also across Asia. There are three main streets in Vasant Vihar namely Munirka Marg, Poorvi Marg and Paschimi Marg. These literally form a rough triangle that encloses much of the neighbourhood. The area is primarily residential and when first planned consisted of six blocks named A to F.
Properties in the area are sold for exorbitant prices and are always in high demand. Cooperative Housing is also present in the locality. Generally, large sized units and plots are available having 3, 4 and 5BHK houses. Apartments are available for sale as well as rent.
The locality offers the experience of a gated community and thus, safety has never been a major concern here. Both owners and tenants belong to the elite class. The locality is also known for its greenery and pollution-free environment as it is surrounded by green belts.
It has quick access to markets, with each block having a market of its own, malls, banks, schools, medical facilities, airport and an upcoming metro station. One of the most sought after market in the vicinity is the Basant Lok Market, which is popularly known as PVR Priya. The airport is just 6-km while the railway station is located at a distance of 14 km. Further it is just a 15 minutes drive to Gurgaon thus, making it a preferred locality for many professionals working in Guragon.
Several reputed educational institutes such as JNU, NIFT, IIT etc are also situated in close proximity to the locality making it a sought after area for students and research scholars.
Pros:
Easy accessibility to Gurgaon and other parts of Delhi.
Availability of good social infrastructure
Proximity to IGI Airport.
Cons:
Property prices are very high.
",http://www.magicbricks.com/Vasant-Vihar-in-New-Delhi-Overview,"
Overview of Vasant Vihar, New Delhi
","
Vasant Vihar, New Delhi , 
"
"
Uttam Nagar is a fully residential location in West Delhi. It is a well developed and peaceful locality just 50 meters off the main road connecting Dwarka and Vikaspuri.
It is a middle class locality offering apartments and independent houses within a moderate price range. Property prices have risen since the Metro has reached the locality. Almost all configurations ranging from 1 to 4 BHK are available for sale and rent. Mostly re-sale properties are available in the area.
The nearby localities include Indira Park, Shankar Garden, Jeevan Park, Om Vihar, Mahindra Park, Bindapur, Vikaspuri and Dwarka Sector-3. The locality is connected to different parts of the NCR. For instance, there is direct connectivity to Noida through the metro. Also, it takes just 30 minutes drive to Gurgaon and 20 minutes to the airport.
Apart from Metro the locality is also well serviced by red and green line buses that run throughout the day. Autos and rickshaws are easily available.
The locality is situated within walking distance from major corporate offices in Uttam Nagar. Several reputed schools, malls and markets are also in the vicinity.
Pros:
Metro connectivity
Easy connectivity to both Noida and Gurgaon
Proximity to the Airport
Cons:
Parking is a major problem.
",http://www.magicbricks.com/Uttam-Nagar-in-New-Delhi-Overview,"
Overview of Uttam Nagar, New Delhi
","
Uttam Nagar, New Delhi , 
"
"
Vikaspuri is an established developed residential locality in West Delhi, which is well connected by the Metro as well as by road. Developed by DDA in the late 1980s, it is considered to be an upper middle class locality and falls under the Patel Nagar subzone of West Delhi.
The locality is divided into nine major blocks namely A-H & J. Further H Block is divided into sub-blocks like H-I, H-II & H-III. Apart from DDA apartments the locality has several cooperative societies such as Krishi and Arunodaya Cooperative Societies. There are 1, 2, 3 and 4BHK flats available for sale and rent. Property prices in the locality have shot up considerably since the Metro became functional here.
Considered to be a safe and open area, the locality has nearly 30-40 parks adding greenery to the area. All facilities such as neighborhood markets, petrol pumps, movie theaters, gym, eating joints, schools, ATMs, temples, gurudwara etc are all available within a radius of five km. Westend Mall, PVR Multiplex, Janakpuri District Center etc are also nearby.
Connectivity of the locality has enhanced manifold since the Metro became operational. The Blue Line of the Metro, which starts from Dwarka, connects Vikaspuri to Connaught Place, Pragati Maidan, Anand Vihar ISBT and Vaishali. Vikaspuri will also benefit from the Delhi Metro's Phase III, which will be completed by March 2016. The metro station is barely a km away. It is also well served by autos and rickshaws. It is well connected to the airport, railway station and ISBT.
Some of the schools in the locality include Adarsh Public School, Kendriya Vidyalaya, KR Mangalam World School, Columbia Foundation School among others.
Pros:
Very well connected by metro
All basic amenities are easily available
Cons:
Limited bus service with only a couple of buses running on this route.
",http://www.magicbricks.com/Vikaspuri-in-New-Delhi-Overview,"
Overview of Vikaspuri, New Delhi
","
Vikaspuri, New Delhi , 
"
"
Vasundhara Enclave borders Noida and is located near Mayur Vihar, East Delhi. Primarily a residential area, it is well connected and equipped with all the necessary facilities. Majorly dominated by multistorey apartments, you will also find the option of residential houses in this area. One finds Co operative Group Housing Societies having multi storey apartments that offer 1 to 5 BHK units.
Apart from being adjacent to Noida, Vasundhra Enclave is also well connected to South Delhi via the DND Flyway and would soon be connected to the New Taj Express corridor via Noida. This would reduce travel time to Agra. The Delhi Metro connects Vasundhara Enclave to other parts of the capital city. The nearby metro stations include Sector-15 Noida and New Ashok Nagar, both within a 2-km radius. Well built roads enable the plying of buses, cabs and autos.
The locality is considered safe, clean and self sufficient with markets, schools, hospitals etc present in close proximity. The markets within the area include Vardhman Plaza, Sunrise Plaza and Delhi Development Authority Market. Reputed schools located here are Somerville School, Cosmos Public School, Evergreen Public School, Maharaja Agrasen College etc. Hospitals in this locality include many private clinics, Dharamshila Cancer Hospital and Government pharmacies.
Apart from the mentioned social amenities, Vasundhara Enclave also has a Chilla Sports Complex and about four parks. Further, 24 hours police patrolling makes this locality very safe.
Pros
Well connected to different parts of Delhi
Safe clean and well maintained locality
All social amenities such as schools hospitals and parks etc available.
",http://www.magicbricks.com/Vasundhara-Enclave-in-New-Delhi-Overview,"
Overview of Vasundhara Enclave, New Delhi
","
Vasundhara Enclave, New Delhi , 
"
"
Andheri East has a mixture of commercial and residential areas including MIDC SEEPZ Santacruz Electronic and Export Promotion Zone Saki Naka an industrial area etc. However it is well known as a business district. The International Airport is situated in Andheri East.
The area enjoys proximity with commercial places like Chakala Sakinaka MIDC SEEPZ Sahar Road and Andheri Kurla Road. Touched by Highways like Jogeshwari Vikhroli Link Road JVLR and NH8, it scores on account of its easy access to the domestic and international airports. Also because most of this area is logistically well connected to the Western Express Highway thereby providing easy and fast access to commercial hubs like BKC, Lower Parel and the Eastern suburbs of Powai, Vikhroli, Mulund, etc
After the Mumbai Metro between Versova Andheri West and Ghatkopar West becomes operational and travel time will be reduced. There are about six new projects by reputed builders coming up in Andheri East. These include projects by Ackruti Builders, Oberoi Realty, Wadhwa Group, Hubtown and Lodha Group. Owing to the connectivity it offers, the residential prices in the locality are at a peak.
On the social infrastructure front, the area has some known schools and colleges like St. Xavier's High School, St. Dominic Savio High School, Holy Family School and Canossa High School. Some of the colleges in the area are Tolani College of Commerce, Shri Chinai College of Commerce & Economics and Rajasthani Sewa Sangh College of Arts & Commerce. The area houses Seven Hills Hospital with seven star facilities. There are other famous hospitals also.
Andheri East has movie theaters like Sangam Cinema, Cinemax and Maxus Cinemas. It has five star hotels like The Leela, Le Royal Meridien, ITC Maratha, Hyatt and Courtyard by Marriott. Also, it is in close proximity to Oberoi Mall, Hub Mall and R City Mall.
Pros:
Easy access to airports
Upcoming Metro connectivity
Cons:
It has more of a commercial set up than
",http://www.magicbricks.com/Andheri-East-in-Mumbai-Overview,"
Overview of Andheri East, Mumbai
","
Andheri East, Mumbai , 
"
